time,open,close,high,low,ma5,ma10
2025-04-25,0.9488251555,0.9502298414,0.9517757660,0.9488251555,0.9496453433,0.9639333844
2025-04-28,0.9512110727,0.9549659626,0.9551228070,0.9507127325,0.9500042204,0.9613305603
2025-04-29,0.9547123623,0.9503949009,0.9547123623,0.9503949009,0.9499140381,0.9581375316
2025-04-30,0.9485220398,0.9475299066,0.9497489177,0.9475299066,0.9505884043,0.9540077809
2025-05-06,0.9468830060,0.9443660552,0.9468830060,0.9443660552,0.9494973333,0.9502590951
2025-05-07,0.9476309227,0.9437466416,0.9476309227,0.9437466416,0.9482006934,0.9489230184
2025-05-08,0.9436501262,0.9403867881,0.9436501262,0.9403867881,0.9452848585,0.9476445395
2025-05-09,0.9406599255,0.9427437260,0.9444143717,0.9406599255,0.9437546235,0.9468343308
2025-05-12,0.9426857714,0.9421898294,0.9426857714,0.9413910831,0.9426866081,0.9466375062
2025-05-13,0.9390657405,0.9429676817,0.9429676817,0.9390657405,0.9424069334,0.9459521333
2025-05-14,0.9422980932,0.9428760549,0.9434511852,0.9422137730,0.9422328160,0.9452167547
2025-05-15,0.9433805715,0.9452008741,0.9456822632,0.9433805715,0.9431956332,0.9442402459
2025-05-16,0.9455482220,0.9440493444,0.9455482220,0.9414906045,0.9434567569,0.9436056902
2025-05-19,0.9427609428,0.9410248686,0.9451466730,0.9410248686,0.9432237648,0.9429551864
2025-05-20,0.9408756684,0.9387646609,0.9417129396,0.9387646609,0.9423831606,0.9423950470
2025-05-21,0.9382925612,0.9425057494,0.9425057494,0.9382925612,0.9423090995,0.9422709578
2025-05-22,0.9439358503,0.9436638655,0.9440134907,0.9418331180,0.9420016978,0.9425986655
2025-05-23,0.9426794419,0.9471730245,0.9471730245,0.9426794419,0.9426264338,0.9430415954
2025-05-26,0.9458843537,0.9442362869,0.9470277636,0.9442362869,0.9432687175,0.9432462411
2025-05-27,0.9448124366,0.9430262046,0.9460861257,0.9430262046,0.9441210262,0.9432520934
2025-05-28,0.9429873418,0.9438887947,0.9447357668,0.9413268739,0.9443976353,0.9433533674
2025-05-29,0.9442415635,0.9399104626,0.9442415635,0.9399104626,0.9436469547,0.9428243262
2025-05-30,0.9401119776,0.9433121019,0.9433121019,0.9401119776,0.9428747701,0.9427506020
2025-06-03,0.9440430180,0.9400466822,0.9440430180,0.9400466822,0.9420368492,0.9426527833
2025-06-04,0.9394433717,0.9396762471,0.9414886515,0.9394433717,0.9413668577,0.9427439420
2025-06-05,0.9389438944,0.9380490363,0.9404643449,0.9380490363,0.9401989060,0.9422982706
2025-06-06,0.9392945037,0.9385593915,0.9392945037,0.9378536617,0.9399286918,0.9417878232
2025-06-09,0.9378758170,0.9349200687,0.9380812050,0.9349200687,0.9382502852,0.9405625277
2025-06-10,0.9345218801,0.9352939252,0.9379082811,0.9345218801,0.9372997338,0.9396682915
2025-06-11,0.9354406818,0.9376953125,0.9376953125,0.9351234810,0.9369035469,0.9391352023
2025-06-12,0.9396008232,0.9387993763,0.9396008232,0.9373238752,0.9370536149,0.9386262604
2025-06-13,0.9417333116,0.9416192762,0.9417333116,0.9388923217,0.9376655918,0.9387971418
2025-06-16,0.9439625317,0.9394196560,0.9439625317,0.9394196560,0.9385655092,0.9384078972
2025-06-17,0.9382559087,0.9377487765,0.9387540984,0.9377487765,0.9390564795,0.9381781066
2025-06-18,0.9374693878,0.9369387022,0.9376850694,0.9369387022,0.9389051574,0.9379043521
2025-06-19,0.9384438984,0.9384172947,0.9384438984,0.9369190124,0.9388287411,0.9379411780
2025-06-20,0.9665519615,0.9655482221,0.9668726399,0.9655482221,0.9436145303,0.9406400610
2025-06-23,0.9673830156,0.9614779874,0.9673830156,0.9614779874,0.9480261966,0.9432958529
2025-06-24,0.9606747316,0.9551959967,0.9610349765,0.9551959967,0.9515156406,0.9452860601
2025-06-25,0.9568640534,0.9533629649,0.9568640534,0.9533344203,0.9548004932,0.9468528253
2025-06-26,0.9544635545,0.9526714553,0.9544635545,0.9509418003,0.9576513253,0.9482400332
2025-06-27,0.9524183007,0.9535576357,0.9535576357,0.9518408025,0.9552532080,0.9494338691
2025-06-30,0.9549866458,0.9535504017,0.9549866458,0.9525074511,0.9536676908,0.9508469437
2025-07-01,0.9524662217,0.9567287312,0.9591521016,0.9524662217,0.9539742378,0.9527449392
2025-07-02,0.9555301794,0.9574301128,0.9589473684,0.9555301794,0.9547876673,0.9547940802
2025-07-03,0.9592636114,0.9573323772,0.9592636114,0.9556890115,0.9557198517,0.9566855885
2025-07-04,0.9569331158,0.9610614836,0.9610614836,0.9569331158,0.9572206213,0.9562369146
2025-07-07,0.9623278689,0.9587014857,0.9623278689,0.9587014857,0.9582508381,0.9559592645
2025-07-08,0.9590134441,0.9554507842,0.9601442150,0.9554507842,0.9579952487,0.9559847432
2025-07-09,0.9550961538,0.9542967493,0.9550961538,0.9542862666,0.9573685760,0.9560781217
2025-07-10,0.9542967493,0.9562231209,0.9562231209,0.9542967493,0.9571467247,0.9564332882
2025-07-11,0.9558988494,0.9530364885,0.9563061468,0.9530364885,0.9555417257,0.9563811735
2025-07-14,0.9530509010,0.9533813589,0.9536945813,0.9530509010,0.9544777003,0.9563642692
2025-07-15,0.9526833916,0.9571160034,0.9571359769,0.9526833916,0.9548107442,0.9564029964
2025-07-16,0.9561068702,0.9537313433,0.9561068702,0.9537313433,0.9546976630,0.9560331195
2025-07-17,0.9372517871,0.9354656985,0.9372517871,0.9354656985,0.9505461785,0.9538464516
2025-07-18,0.9348735560,0.9356367719,0.9364800402,0.9348735560,0.9470662352,0.9513039805
2025-07-21,0.9372670807,0.9369352643,0.9372670807,0.9345245418,0.9437770163,0.9491273583
2025-07-22,0.9382349301,0.9407557479,0.9409328015,0.9378100198,0.9405049652,0.9476578547
2025-07-23,0.9409004478,0.9415384615,0.9426037126,0.9409004478,0.9380663888,0.9463820259
2025-07-24,0.9427603204,0.9406823195,0.9427603204,0.9406823195,0.9391097130,0.9448279458
2025-07-25,0.9394168303,0.9409912501,0.9425308360,0.9394168303,0.9401806087,0.9436234219
2025-07-28,0.9409557244,0.9424416843,0.9424416843,0.9408276900,0.9412818927,0.9425294545
2025-07-29,0.9434908097,0.9401080757,0.9434908097,0.9401080757,0.9411523582,0.9408286617
2025-07-30,0.9429216867,0.9411283729,0.9429216867,0.9411283729,0.9410703405,0.9395683647
2025-07-31,0.9407193808,0.9366778831,0.9407193808,0.9364649387,0.9402694532,0.9396895831
2025-08-01,0.9352210661,0.9329339121,0.9352210661,0.9329339121,0.9386579856,0.9394192971
2025-08-04,0.9319852941,0.9287026164,0.9341236449,0.9286273329,0.9359101720,0.9385960324
2025-08-05,0.9277560829,0.9276563903,0.9289699894,0.9276563903,0.9334198350,0.9372860966
2025-08-06,0.9286784537,0.9261526632,0.9286784537,0.9246868091,0.9304246930,0.9357475168
2025-08-07,0.9251270535,0.9224296296,0.9255585318,0.9224296296,0.9275750423,0.9339222478
2025-08-08,0.9227002967,0.9245731255,0.9245947225,0.9227002967,0.9259028850,0.9322804353
2025-08-11,0.9251753010,0.9193717889,0.9251753010,0.9193717889,0.9240367195,0.9299734458
2025-08-12,0.9195586819,0.9214074031,0.9214074031,0.9195586819,0.9227869221,0.9281033785
2025-08-13,0.9203280779,0.9214487703,0.9216077537,0.9203280779,0.9218461435,0.9261354183
2025-08-14,0.9217391304,0.9207700745,0.9224140432,0.9205156664,0.9215142324,0.9245446374
2025-08-15,0.9186029730,0.9216505320,0.9229835751,0.9186029730,0.9209297138,0.9234162994
2025-08-18,0.9197080292,0.9197706141,0.9207691672,0.9197080292,0.9210094788,0.9225230991
2025-08-19,0.9186570904,0.9195530415,0.9200067080,0.9186570904,0.9206386065,0.9217127643
2025-08-20,0.9189355570,0.9201759208,0.9202246240,0.9189355570,0.9203840366,0.9211150900
2025-08-21,0.9188485264,0.9242176002,0.9248483832,0.9188485264,0.9210735417,0.9212938871
2025-08-22,0.9237447989,0.9267615600,0.9268279409,0.9237447989,0.9220957473,0.9215127305
2025-08-25,0.9237837838,0.9321928712,0.9321928712,0.9237837838,0.9245801987,0.9227948388
2025-08-26,0.9316232378,0.9327076085,0.9327349468,0.9309887013,0.9272111121,0.9239248593
2025-08-27,0.9314247312,0.9383302229,0.9383302229,0.9314247312,0.9308419726,0.9256130046
2025-08-28,0.9370725034,0.9461918731,0.9461918731,0.9370725034,0.9352368271,0.9281551844
2025-08-29,0.9459349262,0.9498004507,0.9512637363,0.9459349262,0.9398446053,0.9309701763
2025-09-01,0.9487837838,0.9504376338,0.9516467924,0.9487837838,0.9434935578,0.9340368783
2025-09-02,0.9516198938,0.9510163555,0.9516198938,0.9509356204,0.9471553072,0.9371832097
2025-09-03,0.9512302285,0.9504662168,0.9519436373,0.9504662168,0.9495825060,0.9402122393
2025-09-04,0.9511718750,0.9491646437,0.9517279667,0.9479015919,0.9501770601,0.9427069436
2025-09-05,0.9495257356,0.9546913922,0.9546913922,0.9485823711,0.9511552484,0.9454999268
2025-09-08,0.9564049301,0.9564400221,0.9564400221,0.9550771980,0.9523557261,0.9479246419
2025-09-09,0.9568953569,0.9591113344,0.9599280616,0.9566845656,0.9539747218,0.9505650145
2025-09-10,0.9591740051,0.9597818487,0.9597818487,0.9559762272,0.9558378482,0.9527101771
2025-09-11,0.9606662934,0.9643736972,0.9643736972,0.9606662934,0.9588796589,0.9545283595
2025-09-12,0.9624746176,0.9658045666,0.9664339420,0.9624746176,0.9611022938,0.9561287711
2025-09-15,0.9647169811,0.9654751242,0.9654751242,0.9641819416,0.9629093142,0.9576325201
2025-09-16,0.9660397781,0.9602251407,0.9660397781,0.9602251407,0.9631320755,0.9585533987
2025-09-17,0.9594794043,0.9609646217,0.9609646217,0.9592248688,0.9633686301,0.9596032391
2025-09-18,0.9625265957,0.9620110533,0.9631257631,0.9597389034,0.9628961013,0.9608878801
2025-09-19,0.9683831672,0.9712410302,0.9712410302,0.9672577320,0.9639833940,0.9625428439
2025-09-22,0.9719794701,0.9699869990,0.9719794701,0.9693729003,0.9648857690,0.9638975416
2025-09-23,0.9718383816,0.9738459380,0.9738459380,0.9704671508,0.9676099284,0.9653710020
2025-09-24,0.9732394366,0.9799813780,0.9799813780,0.9732394366,0.9714132797,0.9673909549
2025-09-25,0.9792866941,0.9841797358,0.9841797358,0.9792866941,0.9758470162,0.9693715587
2025-09-26,0.9844352617,0.9848105492,0.9870347135,0.9844352617,0.9785609200,0.9712721570
