number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
220,2025-02-26,000905.SH,5990.2901,6055.8727,5973.8574,6051.7401,210860898.0,327265336672.0,1.8852
219,2025-02-27,000905.SH,6050.1864,6064.491,5940.3354,6028.9856,216652930.0,328254761443.0,1.937
218,2025-02-28,000905.SH,5997.9175,6007.4724,5847.1512,5859.8708,205223814.0,298290643729.0,1.8349
217,2025-03-03,000905.SH,5875.9522,5964.2684,5851.56,5885.7696,185024581.0,266955659876.0,1.6539
216,2025-03-04,000905.SH,5845.4712,5943.0837,5843.4633,5937.6302,153922211.0,231145314805.0,1.3759
215,2025-03-05,000905.SH,5937.1074,5955.8988,5892.5332,5950.7034,163071500.0,241738025093.0,1.4576
214,2025-03-06,000905.SH,5980.3798,6062.5412,5972.6039,6047.7734,213042852.0,320542701864.0,1.904
213,2025-03-07,000905.SH,6029.3813,6067.3481,5989.3206,6013.7747,207437149.0,301122130059.0,1.8538
212,2025-03-10,000905.SH,6022.6814,6041.5219,5971.8131,6013.6191,173044336.0,248513462299.0,1.5465
211,2025-03-11,000905.SH,5944.4197,6044.9742,5942.9124,6044.9742,173855643.0,245205106219.0,1.5538
210,2025-03-12,000905.SH,6068.3762,6098.2352,6038.8221,6040.4965,184763537.0,267906301207.0,1.651
209,2025-03-13,000905.SH,6032.8545,6050.1782,5947.7816,5993.967,193710717.0,253622427436.0,1.7303
208,2025-03-14,000905.SH,5993.9702,6099.9809,5978.5321,6099.9809,219245834.0,289038080526.0,1.9584
207,2025-03-17,000905.SH,6119.6064,6129.8543,6098.5079,6108.0176,184317273.0,250160671108.0,1.6461
206,2025-03-18,000905.SH,6126.0357,6161.2281,6114.2064,6133.3018,166023043.0,236342189394.0,1.4827
205,2025-03-19,000905.SH,6117.4233,6128.2297,6076.5643,6101.4369,153893780.0,218871992193.0,1.3744
204,2025-03-20,000905.SH,6094.8426,6109.1829,6055.3811,6059.4859,147187865.0,203849586196.0,1.3145
203,2025-03-21,000905.SH,6038.9899,6071.0846,5951.7952,5971.9302,174103785.0,225801003415.0,1.5549
