number,time,thscode,open,high,low,close,amount,volume
294,2024-12-06,IMZL.CFE,6263.2000000000,6370.2000000000,6175.2000000000,6333.6000000000,25618287.2960000001,203792.0000000000
293,2024-12-09,IMZL.CFE,6323.8000000000,6354.6000000000,6218.2000000000,6264.0000000000,18542407.1400000006,147628.0000000000
292,2024-12-10,IMZL.CFE,6500.0000000000,6538.0000000000,6330.2000000000,6358.2000000000,24272776.1240000017,188885.0000000000
291,2024-12-11,IMZL.CFE,6356.8000000000,6452.8000000000,6356.6000000000,6430.2000000000,18860532.7639999986,146971.0000000000
290,2024-12-12,IMZL.CFE,6432.2000000000,6498.0000000000,6376.6000000000,6477.8000000000,18590122.3280000016,144410.0000000000
289,2024-12-13,IMZL.CFE,6419.0000000000,6442.8000000000,6327.8000000000,6359.0000000000,21004754.6719999984,164655.0000000000
288,2024-12-16,IMZL.CFE,6361.0000000000,6364.8000000000,6242.4000000000,6263.4000000000,14485543.6160000004,115176.0000000000
287,2024-12-17,IMZL.CFE,6249.8000000000,6267.2000000000,6138.0000000000,6143.6000000000,17951492.2679999992,144996.0000000000
286,2024-12-18,IMZL.CFE,6169.8000000000,6243.0000000000,6126.0000000000,6189.8000000000,14368035.8560000006,116069.0000000000
285,2024-12-19,IMZL.CFE,6131.8000000000,6231.6000000000,6096.0000000000,6218.0000000000,11865979.4560000002,96333.0000000000
284,2024-12-20,IMZL.CFE,6076.0000000000,6192.0000000000,6070.0000000000,6141.2000000000,12086573.9399999995,98404.0000000000
283,2024-12-23,IMZL.CFE,6142.0000000000,6144.0000000000,5982.8000000000,5987.0000000000,13422395.5600000005,110939.0000000000
282,2024-12-24,IMZL.CFE,6010.0000000000,6058.2000000000,5966.4000000000,6053.4000000000,14789058.6520000007,122818.0000000000
281,2024-12-25,IMZL.CFE,6034.0000000000,6045.0000000000,5944.2000000000,6001.8000000000,14716801.0639999993,122978.0000000000
280,2024-12-26,IMZL.CFE,6000.0000000000,6083.6000000000,5996.0000000000,6052.8000000000,11495468.1480000000,94903.0000000000
279,2024-12-27,IMZL.CFE,6059.0000000000,6155.0000000000,6018.0000000000,6067.4000000000,14271056.8880000003,116992.0000000000
278,2024-12-30,IMZL.CFE,6061.0000000000,6100.0000000000,6008.0000000000,6057.8000000000,13486727.1840000004,111379.0000000000
277,2024-12-31,IMZL.CFE,6070.0000000000,6081.6000000000,5847.0000000000,5848.6000000000,16395104.7919999994,137741.0000000000
